팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
KIA,0,0,0,0,0,0,1,0,5,,,,6,8,0
SK,1,0,0,2,1,0,0,0,0,,,,4,8,0
kt,0,0,0,0,0,5,0,0,0,,,,5,12,2
삼성,1,0,0,2,0,0,0,0,0,,,,3,6,0
롯데,0,0,0,3,0,0,2,0,0,,,,5,10,1
NC,0,0,0,1,1,3,2,0,-,,,,7,12,0
두산,1,1,0,0,0,0,0,0,0,,,,2,6,1
LG,0,1,0,0,3,0,0,1,-,,,,5,13,1
한화,1,1,0,0,0,0,0,0,0,1,3,11,0,,
키움,0,0,0,1,0,1,0,0,0,0,2,11,0,,
KIA,0,0,0,0,3,0,1,0,0,,,,4,9,0
SK,0,1,0,0,0,0,0,0,1,,,,2,6,0
kt,3,0,0,0,0,0,0,4,5,,,,12,15,1
삼성,3,0,1,0,1,0,9,0,-,,,,14,15,1
롯데,0,0,0,0,0,0,0,0,1,,,,1,9,1
NC,2,0,2,0,2,2,0,0,-,,,,8,10,1
두산,1,0,0,2,3,2,0,0,0,,,,8,13,0
LG,0,0,0,0,0,0,0,0,0,,,,0,5,2
한화,0,0,0,0,0,0,0,2,0,,,,2,7,1
kt,0,0,0,2,0,2,0,0,-,,,,4,5,1
KIA,0,0,7,0,0,0,0,2,0,,,,9,13,0
롯데,1,1,1,0,7,0,0,0,-,,,,10,15,0
LG,0,0,0,2,0,0,0,0,0,0,5,7,9,1,
NC,0,0,0,0,0,0,0,2,0,0,0,2,6,0,
SK,0,0,0,0,0,0,2,1,0,,,,3,8,0
두산,0,0,1,1,0,0,4,2,-,,,,8,15,1
키움,1,0,0,1,0,0,0,1,1,,,,4,10,2
삼성,0,0,0,0,0,0,0,0,0,,,,0,5,1
한화,2,2,0,0,2,0,0,1,1,,,,8,8,0
kt,2,0,1,0,0,0,2,0,0,,,,5,11,1
KIA,1,0,2,0,0,1,0,2,0,0,6,14,0,,
롯데,2,0,0,0,2,0,0,2,0,2,8,16,0,,
LG,0,0,0,0,0,1,1,0,0,0,0,2,4,13,1
NC,0,0,0,0,1,0,0,1,0,0,0,0,2,10,1
SK,0,1,0,0,2,0,0,0,0,,,,3,7,3
두산,5,2,0,0,0,4,1,0,-,,,,12,12,0
키움,0,1,0,3,1,0,0,0,0,,,,5,11,1
삼성,1,0,0,1,0,1,0,0,0,,,,3,4,1
한화,0,0,0,0,2,1,0,2,0,,,,5,10,1
kt,2,3,0,0,0,0,0,1,-,,,,6,10,0
KIA,0,0,0,0,1,0,0,0,8,,,,9,11,0
롯데,0,1,1,0,2,0,0,0,6,,,,10,13,0
LG,0,0,0,1,0,0,0,5,0,,,,6,9,0
NC,1,0,0,0,0,0,0,0,0,,,,1,8,4
SK,0,0,2,0,1,0,1,0,0,,,,4,8,0
두산,0,0,1,0,1,0,0,1,0,,,,3,9,1
키움,0,0,2,0,0,0,0,1,1,0,0,4,8,0,
삼성,0,2,0,0,1,0,0,1,0,0,1,5,14,2,
kt,1,0,1,0,0,3,0,0,1,,,,6,10,2
롯데,5,0,0,0,0,0,0,0,0,,,,5,6,0
NC,0,4,0,0,2,2,0,5,1,,,,14,21,2
SK,0,0,0,0,2,1,1,7,0,,,,11,11,0
