선수명,팀명,이닝,K/9,BB/9,HR/9,LOB%,RA9-WAR,WAR,K/BB,ERA,FIP,kFIP,WHIP,oAVG,oOBP,oSLG,oOPS
박진형,롯데,194,8.54,-5.06,-0.84,67.2,2.67,1.88,1.69,-5.52,-5.03,-4.96,-1.65,-0.283,-0.384,-0.435,-0.819
노경은,롯데,241.2,5.55,-3.2,-1.3,65.1,3.77,1.62,1.73,-5.62,-5.62,-5.79,-1.51,-0.29,-0.353,-0.472,-0.825
고효준,KIA,118.1,9.58,-5.63,-0.76,64.1,1.85,1.6,1.7,-5.7,-4.78,-4.6,-1.73,-0.279,-0.382,-0.413,-0.795
금민철,Hero,236.2,5.21,-4.18,-0.91,69.6,3.48,1.6,1.25,-5.59,-5.47,-5.73,-1.85,-0.338,-0.409,-0.468,-0.877
한승혁,KIA,160.1,7.75,-4.83,-0.84,63.7,1.71,1.59,1.6,-5.95,-4.95,-4.92,-1.7,-0.295,-0.38,-0.438,-0.818
엄상백,KT,171.2,7.34,-4.14,-0.79,62,1.49,1.58,1.77,-5.61,-4.83,-4.84,-1.58,-0.284,-0.371,-0.419,-0.79
장원삼,삼성,183.2,6.62,-2.6,-1.37,62.4,1.44,1.55,2.55,-6.32,-5.28,-5.29,-1.69,-0.334,-0.379,-0.507,-0.887
안영명,한화,156.1,5.93,-2.71,-1.32,64.9,0.83,1.39,2.19,-5.99,-5.4,-5.5,-1.68,-0.331,-0.38,-0.509,-0.889
홍건희,KIA,166,7.43,-3.74,-1.03,65.8,1.24,1.28,1.99,-6.02,-4.89,-4.84,-1.73,-0.322,-0.383,-0.48,-0.863
김재영,한화,208,4.8,-2.77,-1.12,66.9,2.94,1.22,1.73,-5.45,-5.66,-5.95,-1.53,-0.311,-0.375,-0.471,-0.847
장시환,롯데,163.1,9.26,-5.12,-0.99,66.7,1.33,1.14,1.81,-5.34,-5.02,-4.85,-1.67,-0.281,-0.38,-0.435,-0.816
